"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка итоговой суммы заказа из трёх товаров","18242","Тест оформления заказа в интернет-магазине","tests","2026-03-05","passed","2026-03-05","","test_shop","",""
"Проверка работы калькулятора с задержкой 45 секунд","52192","Тест медленного калькулятора","tests","2026-03-05","passed","2026-03-05","","test_calculator","",""
